decile,wallets,median_txs,max_txs,median_approvals,median_ratio_uni,median_grants_p2,ever_v4,approval_gas_eth
1,55848,1.0,2,1.0,1.0,1.0,0.7038568972926514,13.709898970598326
2,4700,3.0,3,2.0,0.3333333333333333,0.6666666666666666,0.7582978723404256,2.136499368804261
3,5674,5.0,6,2.0,0.2,0.5,0.7714134649277405,2.3781002179203594
4,6663,12.0,332,2.0,0.05555555555555555,0.2631578947368421,0.7202461353744559,3.5545991962246526
