spender_a,spender_b,pairs,unlimited_a,unlimited_b,a_unl_b_exact,b_unl_a_exact
Uniswap Permit2,MetaMask Swaps,1634,0.9589963280293757,0.03671970624235006,1510,3
OKX TokenApprove,LI.FI Diamond,275,0.6763636363636364,0.1781818181818182,143,6
Uniswap Permit2,LI.FI Diamond,1565,0.8613418530351438,0.08562300319488818,1217,3
