spender_a,spender_b,pairs,unlimited_a,unlimited_b,a_unl_b_exact,b_unl_a_exact
Uniswap Permit2,MetaMask Swaps,147,0.9183673469387755,0.047619047619047616,128,0
OKX TokenApprove,LI.FI Diamond,95,0.6210526315789474,0.18947368421052632,45,4
Uniswap Permit2,LI.FI Diamond,291,0.8281786941580757,0.07216494845360824,223,3
