wallet,token_symbol,spender,block_time,tx_hash,amount_raw,is_revoke,gas_used,gas_cost_eth,max_priority_fee_per_gas,approval_type,outstanding,is_unlimited
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDC,0x000000000022d473030f116ddee9f6b43ac78ba3,2025-11-28 18:36:59+00:00,0x18c18cb749aa8cd3c7506a34ec9f7bddac5fe0e13a6647d4a9672931c4b4cf6b,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55846,2.224272379511e-05,352960232,unlimited,True,True
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDC,0x28be6260dbb7872de5effc9a4a73c85b7405a8c0,2025-09-29 16:33:47+00:00,0x385ce163c006e283c214501ed2b7fb06c26c02f236056849db3e8cec0712fcd5,25000000000,False,55570,0.00049503781448702,900000000,exact,True,False
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDC,0x2ccf230467fe7387674baa657747f0b5485c7fec,2025-11-24 14:16:11+00:00,0xfa29fa028ad7e445272d14b1fa5272ae2528b8ef96ab58f16331ffbefa0197cd,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,38806,3.3817548538852e-05,500000000,unlimited,True,True
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDC,0x45ddbfb84173692f09575b954623855a82e2335e,2025-12-27 12:51:11+00:00,0x41a9219b8f753a11acbc46fcbc9579d70d271010690d87e9608cf79bfaf092b2,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55906,0.00011372427814744,2000000000,unlimited,True,True
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDC,0x46d6eba3aecd215a3e703cda963820d4520b45d6,2025-11-25 13:58:35+00:00,0x8bb53beccd3ec7671e4a635620a92371e207223cc9187d1f493fad5ca1b90d91,210000000000,False,55570,0.0001565889397639,2000000000,exact,True,False
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDC,0x6521c50810f0d882b2c64a235805d3f5241857dd,2025-12-27 12:48:59+00:00,0xa9ea484c6a647d2d042e4791cf3a3bf4b988388a819481725cf4f7e2a96c4fa0,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55906,0.00011395643899364,2000000000,unlimited,True,True
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDC,0x7782046601e7b9b05ca55a3899780ce6ee6b8b2b,2023-12-22 03:04:23+00:00,0x63f8175096682396b64d8379bc5b925db8648ece6ac51f7de0fde44692dc4ba1,0,True,38027,0.000990461150239066,100000000,revocation,False,False
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDC,0x8f0ba37dac51a8102b1203c9d9ac26724dc684ac,2023-12-22 03:04:11+00:00,0xd1c5482c4464297487b6745a96c574b0b16dfc85315202ba6e2cd83af91be396,0,True,38027,0.001000659535619282,100000000,revocation,False,False
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDC,0xb300000b72deaeb607a12d5f54773d1c19c7028d,2025-12-02 16:40:47+00:00,0x4d55d67e2198e9bb6c9f154ce79dc5b06a4be6e2d4da3ac2782bb4ce6b1d1de5,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55882,2.2200458626868e-05,89000000,unlimited,True,True
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDC,0xc026395860db2d07ee33e05fe50ed7bd583189c7,2025-11-05 11:40:35+00:00,0xa9469d6df68aa8cb98fd94586a87b03a712b9ca3167c01df2dc377c56d910c11,0,True,33622,2.9499655399144e-05,500000000,revocation,False,False
