wallet,token_symbol,spender,block_time,tx_hash,amount_raw,is_revoke,gas_used,gas_cost_eth,max_priority_fee_per_gas,approval_type,outstanding,is_unlimited
0x00000000206ad3e31dfff979ccef06de72a9e027,USDC,0x0000151d008235a6cc00004f00fa2bdf9df95400,2024-10-10 18:12:59+00:00,0xdc1bf3f1702e637edb20f88d98e91a11f3e373aea082b47cf00b755662acc4be,41875760598,False,35598,0.000861007038553224,673969245,exact,True,False
0x00000000206ad3e31dfff979ccef06de72a9e027,USDC,0x5c7bcd6e7de5423a257d81b442095a1a6ced35c5,2025-04-02 14:42:47+00:00,0x10a921f0efd7795de9cc4bd276225d112e0abe8ee336025458296ad86e005512,3000000,False,55558,0.00013132048590271,914743136,exact,True,False
0x00000000206ad3e31dfff979ccef06de72a9e027,USDC,0x6352a56caadc4f1e25cd6c75970fa768a3304e64,2025-12-02 15:14:23+00:00,0x0bce1c84d3fd242a6159f6d4929e035c7b756b4ccfcaf31a83bb2f4d42c34b8e,50000,False,55546,0.000170909384417716,2000000000,exact,True,False
0x00000000206ad3e31dfff979ccef06de72a9e027,USDC,0x6a000f20005980200259b80c5102003040001068,2025-12-12 23:20:47+00:00,0xf649ed2e1dcb765a7e1e725d2961dac8cec859a25655310a053c0afa2fe932df,200000,False,55510,5.954655863884e-05,1004000000,exact,True,False
0x00000000206ad3e31dfff979ccef06de72a9e027,USDC,0xe72ecea44b6d8b2b3cf5171214d9730e86213ca2,2025-08-25 14:43:47+00:00,0xde17a5228471cc954a537f2bc5258377c138e0c02f447ff4726862c9b7de78b5,12121797177,False,55582,8.2271372152406e-05,1000000000,exact,True,False
0x00000000206ad3e31dfff979ccef06de72a9e027,USDT,0x0000151d008235a6cc00004f00fa2bdf9df95400,2024-10-10 18:01:35+00:00,0xbd7a9c3e610cfc96ca76908ab82b9e28cd28aaeb9be416a98cf1becd8e422acb,28886887895,False,48489,0.001286704783961247,1825346000,exact,True,False
0x00000ec1928430989d3acc2bdc6bfe74b04bf30c,USDC,0x111111125421ca6dc452d289314280a0f8842a65,2026-02-11 08:16:59+00:00,0x84665ce3cd1b4bd0152257926705da4ce653420ca7fb4bbfdaa4cf590790d6d6,14995270000,False,55582,0.000114242270726402,2000000000,exact,True,False
0x00000ec1928430989d3acc2bdc6bfe74b04bf30c,USDC,0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,2026-01-12 15:51:11+00:00,0x31843e68747f278c94c255fc241a3069d720d9c8263d4ec70c489666d9b45e28,14000000000,False,1879637,0.004136406918347409,2000000000,exact,True,False
0x00000ec1928430989d3acc2bdc6bfe74b04bf30c,USDT,0x000000000022d473030f116ddee9f6b43ac78ba3,2026-02-11 08:21:47+00:00,0xc8b159d3817acc5426589eabb8f153f54d5f4cc95b7a916f01ea90a9de7831e7,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,48837,0.000100511081834049,2000000000,unlimited,True,True
0x0000337fc3dbc479b02907f97c1638de5c9cd537,USDC,0x3b4d794a66304f130a4db8f2551b0070dfcf5ca7,2025-12-27 18:55:47+00:00,0x1ca604b9068997aefe70b92337456901c290e531ef3318ce850cff7dce0fa69a,3106664778,False,55558,1.480890600764e-06,2,exact,True,False
0x0000337fc3dbc479b02907f97c1638de5c9cd537,USDC,0x5c7bcd6e7de5423a257d81b442095a1a6ced35c5,2025-09-06 15:04:11+00:00,0x0b1f569396fc0c4be0de1d17e24358533484c6f301df3d87a6eeb7afe4321035,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55906,8.119705761334e-06,34510,unlimited,True,True
0x0000337fc3dbc479b02907f97c1638de5c9cd537,USDC,0xac4c6e212a361c968f1725b4d055b47e63f80b75,2025-12-20 03:29:47+00:00,0x91adab0537f1bf6f818bd74aefac30b3202d5f8ade3eedeffd672cd593c25e52,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55906,7.13913582152e-06,100000002,unlimited,True,True
0x0000337fc3dbc479b02907f97c1638de5c9cd537,USDT,0x604dd02d620633ae427888d41bfd15e38483736e,2025-12-25 16:38:47+00:00,0xa5d24703fd1190b74e63bd6700beed46041a3ad5388b116432b52938780c80d8,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,48897,1.724991250923e-06,2,unlimited,True,True
0x0000337fc3dbc479b02907f97c1638de5c9cd537,USDT,0xac4c6e212a361c968f1725b4d055b47e63f80b75,2025-12-27 18:53:35+00:00,0x5cc117a13165ca93bfe1f2cf27b89ca45ba4ffd9e90c3ea39b2d940623f66d2e,3107860000,False,48561,1.346901590202e-06,2,exact,True,False
0x00014f7351e4b239e290816f89d9a42afdb9e964,USDC,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,2026-02-27 01:53:11+00:00,0x8444ca4fe6d814af49fc690d158fe499ca900666e8da13700a19e81dc9ed5773,0,True,35622,2.27876979681e-06,500000000,revocation,False,False
0x00014f7351e4b239e290816f89d9a42afdb9e964,USDC,0x337685fdab40d39bd02028545a4ffa7d287cc3e2,2026-02-23 07:07:11+00:00,0x3b379c3fe21ee1ab1f3011a6db065d59d342947a8e2a31fc2de1c6957356cca7,0,True,35622,1.995900375024e-06,,revocation,False,False
0x00014f7351e4b239e290816f89d9a42afdb9e964,USDC,0x69460570c93f9de5e2edbc3052bf10125f0ca22d,2025-10-12 22:50:23+00:00,0xf3af2ee4a7200faf213125d10db7edad367a156413fddaad3a149dca6da7f70d,0,True,35622,7.633824486858e-06,38635328,revocation,False,False
0x00014f7351e4b239e290816f89d9a42afdb9e964,USDT,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,2025-12-07 17:24:59+00:00,0x0013cb67349131e9d14b27189945f435979c7a32cb8fc3985ec525fff11ea9cd,0,True,28420,1.517211217858e-05,261069057,revocation,False,False
0x00014f7351e4b239e290816f89d9a42afdb9e964,USDT,0x69460570c93f9de5e2edbc3052bf10125f0ca22d,2025-08-25 00:51:59+00:00,0xa117901749fe5869cf8476693dac90244f42f3917b7789381440d31bf8301faf,0,True,28420,2.038673732032e-05,364928908,revocation,False,False
0x00041b756f6f875a65c5281f21ebd732dedfdd74,USDC,0x0000000000001ff3684f28c67538d4d072c22734,2026-01-17 01:49:35+00:00,0xb28c9514ef29c2e4d5bd520e598fbf7a78ffc8b2e3a664645eac25ec7f1492ac,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55834,6.559322430166e-06,79000000,unlimited,True,True
0x00041b756f6f875a65c5281f21ebd732dedfdd74,USDC,0x40aa958dd87fc8305b97f2ba922cddca374bcd7f,2026-01-17 01:48:59+00:00,0x68af61d4b9d66aeda4736949a31e70d15c77d2438ffb90396a1ab4d591dee736,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55906,6.314847638534e-06,79000000,unlimited,True,True
0x0006ff1eb23d56f20a7c99046caa2a746d1ca9a4,USDT,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,2026-02-24 14:55:11+00:00,0x65ba7c0fdad9646af6e6ac4635bee78f2d197714717c0254d6196e660edb967b,106374455,False,48561,2.0388176909847e-05,79000000,exact,True,False
0x0006ff1eb23d56f20a7c99046caa2a746d1ca9a4,USDT,0x40aa958dd87fc8305b97f2ba922cddca374bcd7f,2026-02-23 18:42:59+00:00,0xdd3d80c748a2d1329f087634466019debc11f5f6f5b87330c75debe00980205b,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,48897,7.972426718658e-06,79000000,unlimited,True,True
0x0007fcf5590179336c826a60c80976623c7bbc29,USDC,0x000000000022d473030f116ddee9f6b43ac78ba3,2025-12-09 21:49:35+00:00,0x2749eb1c46e55e3c5ef69ccdf92bcefef3164cf4679ac591172b3b6700e6d453,5007445005,False,35622,7.8341919103908e-05,2000000000,exact,True,False
0x0007fcf5590179336c826a60c80976623c7bbc29,USDC,0x111111125421ca6dc452d289314280a0f8842a65,2025-12-09 13:46:11+00:00,0xf522f2a527677b61e78dd8cef90583e467d0649e4ddbf5cc52e51d77ceb68bd3,5007445005,False,38482,8.5131201717952e-05,2000000000,exact,True,False
0x0007fcf5590179336c826a60c80976623c7bbc29,USDC,0x6131b5fae19ea4f9d964eac0408e4408b66337b5,2025-12-10 20:01:23+00:00,0x32c6d25a36170fe85b04ba6322a89c57166314c2ac878c3135d04d29adfb555b,5007445005,False,38482,8.3266106014624e-05,2000000000,exact,True,False
