wallet,token_symbol,delegatee,block_time,tx_hash,amount_raw,is_revoke,gas_cost_eth,approval_type,outstanding,is_unlimited
0x000000000000bb1b11e5ac8099e92e366b64c133,DAI,0x8761e0370f94f68db8eaa731f4fc581f6ad0bd68,2024-08-28 16:46:11+00:00,0xc12f261152ab0423d19a341b4b417152c9f6a29275a2b2a6d4d79065127ca609,115792089237316195423570985008687907853269984665640564039357805539952105712902,False,0.00710727028613921,unlimited,True,True
0x000000000000bb1b11e5ac8099e92e366b64c133,USDC,0x8761e0370f94f68db8eaa731f4fc581f6ad0bd68,2024-08-28 16:43:59+00:00,0x3bb71afa5cde847017d50701372d9966d939d9ce993530f03341142ee3bb1f06,115792089237316195423570985008687907853269984665640564039457584007912776755213,False,0.007691754233910768,unlimited,True,True
0x000000000000bb1b11e5ac8099e92e366b64c133,USDT,0x8761e0370f94f68db8eaa731f4fc581f6ad0bd68,2024-08-28 16:48:23+00:00,0x5015d8c50473f5f8ca78c953db4ec7d4151f0e0f288677cf554b1de90bcf76d2,115792089237316195423570985008687907853269984665640564039457584007912843571845,False,0.007313926899424066,unlimited,True,True
0x000005c42f532023064996a3c97940f075c8fd05,USDT,0xd7852e139a7097e119623de0751ae53a61efb442,2025-06-03 13:24:47+00:00,0x018feea6adc3048eed63044ee421441cf3f4d9737e4d533f6b34f26e731e774a,65671527,False,0.003200413741483503,exact,True,False
0x0012389d4b1f93f5fc6eff53216afc73ff0b3dd9,USDC,0xd7852e139a7097e119623de0751ae53a61efb442,2025-09-26 08:28:11+00:00,0x08e4e34e56989523504dafa1a8d8e55d5da534fb54f7ef98ab0b5c37add16d2c,754807473,False,0.000446978379946998,exact,True,False
0x0012389d4b1f93f5fc6eff53216afc73ff0b3dd9,USDT,0xd7852e139a7097e119623de0751ae53a61efb442,2025-11-25 06:37:11+00:00,0x371fa608ed06e7299b4e24c51a9e6f0fa50f9d9e3d2b55393c909cf769c221ec,2173455787,False,0.00011475208666999,exact,True,False
0x00159370cbe576b765a7fb2e78582e0cb563d445,DAI,0x9901bac880caecad999e292811db9c1db3e86f8a,2023-08-30 02:20:11+00:00,0xd252bd1cdc5e65c7492d5560d1eb8ad42a97f5d7b60f5de00463572ae3489fdb,0,True,0.024109591576376616,revocation,False,False
0x00159370cbe576b765a7fb2e78582e0cb563d445,USDC,0x8f30adaa6950b31f675bf8a709bc23f55aa24735,2023-08-30 02:25:11+00:00,0x2900270b47cd35344159b1f800f60921e5135677e58081ffa763665697bc368f,75642324,False,0.017965765242080028,exact,True,False
0x00159370cbe576b765a7fb2e78582e0cb563d445,USDC,0x9901bac880caecad999e292811db9c1db3e86f8a,2023-08-30 02:18:23+00:00,0x047c85b02c3abc69732f1c079eae7a7014e9cc17078c2f7293079e09da36fa94,0,True,0.02068685102951796,revocation,False,False
0x0018ea4bab28d0737a77164d2331790c49ce0734,USDC,0xb748952c7bc638f31775245964707bcc5ddfabfc,2023-08-01 02:47:35+00:00,0x06c9f36a8cbc97cfeaaac096f57f834bc5458e09b22c246c9525fe2068ac7561,1011071670,False,0.01600685186111836,exact,True,False
0x001fd99044af0e172b2528bd3267eda0e98143fe,USDC,0xd7852e139a7097e119623de0751ae53a61efb442,2025-10-26 10:53:11+00:00,0x747163a90240214df77041c2ec47473e3712f9cae5ec7af647b4a7d8b54a89f0,74494141,False,7.756232746692e-05,exact,True,False
0x002183113f3fedc5b494080954e5e8faeb070fd3,DAI,0xb748952c7bc638f31775245964707bcc5ddfabfc,2024-03-16 17:19:47+00:00,0x66f74017dea455ee649f34ef620c99ac5c9aea981aeb633bc215c47154512862,15131481091779864141656,False,0.08426512416494109,exact,True,False
0x002183113f3fedc5b494080954e5e8faeb070fd3,USDT,0x8761e0370f94f68db8eaa731f4fc581f6ad0bd68,2024-03-20 18:26:59+00:00,0x0994a29ab6cbb3f700eaebfa49d9f843eed1b474bc5ce3200d7c9078cdaa4da4,9572513907,False,0.0271558122290637,exact,True,False
0x002183113f3fedc5b494080954e5e8faeb070fd3,USDT,0xb748952c7bc638f31775245964707bcc5ddfabfc,2024-03-16 17:19:47+00:00,0x66f74017dea455ee649f34ef620c99ac5c9aea981aeb633bc215c47154512862,39738607727,False,0.08426512416494109,exact,True,False
0x00227dd82fae1220bdac630297753bb2cb4e8ddd,DAI,0x8761e0370f94f68db8eaa731f4fc581f6ad0bd68,2024-01-12 17:24:59+00:00,0xc47a0080736f2f980f1bac1cc63ed12e783e593f3b525436bff6d891e6a0b0a9,59477704883596999999999,False,0.057180729000609457,exact,True,False
0x00227dd82fae1220bdac630297753bb2cb4e8ddd,DAI,0xb748952c7bc638f31775245964707bcc5ddfabfc,2023-01-30 11:45:23+00:00,0x383c22a3f9b2faee6d2c2d93f0404eb64db7fc1409fc45e5e11cc693d7bba4b7,116113269552818797,False,0.02406029863032894,exact,True,False
0x00227dd82fae1220bdac630297753bb2cb4e8ddd,DAI,0xd7852e139a7097e119623de0751ae53a61efb442,2025-03-09 22:18:11+00:00,0x453d6d39b888d2c1246446d82afb1d17f04bbb16fb0097633ed514071a9a1e42,284594224866060695839,False,0.001277797199167456,exact,True,False
0x00227dd82fae1220bdac630297753bb2cb4e8ddd,USDC,0x8761e0370f94f68db8eaa731f4fc581f6ad0bd68,2023-12-28 22:25:47+00:00,0xde502b20557a9d40fd1e0c39baffc6f1b7948452b5aef6cbb7cb4901f09b43c7,28937886864,False,0.0197180036248086,exact,True,False
0x00227dd82fae1220bdac630297753bb2cb4e8ddd,USDC,0xd7852e139a7097e119623de0751ae53a61efb442,2024-11-04 11:05:35+00:00,0x49ea0bc0cc5b96ee9f1c996943d2370681c9cd162c1f5ecdd4c18f1e39be8092,69566532118,False,0.006150342080234989,exact,True,False
0x002afa1e35ce85272aae5e0d7ab541dfd442b667,USDC,0xd7852e139a7097e119623de0751ae53a61efb442,2025-08-14 09:24:11+00:00,0x07d5ef5b42634c7f36ad19dd89377f0ee2887511c2648da0ed456701969fdf42,1126757939,False,0.0010861644454248,exact,True,False
0x002ec9abfff7d6d2e98a162054085ad23a2eaaa9,USDC,0x9901bac880caecad999e292811db9c1db3e86f8a,2023-07-12 20:01:59+00:00,0x7602027da51897721d7c1cf3829c9f4850c61690e2f2241cfc1b262415f19218,1000000000,False,0.0015312744008628,exact,True,False
0x0032311e56bc34efde20b408bb99d986eea1863a,USDT,0xd7852e139a7097e119623de0751ae53a61efb442,2025-11-27 17:15:59+00:00,0x234b2dd7a48343d7b542107363b439057bfc77c07d8ee574238e8c3d37b9bdea,5911133341,False,0.001890497127325564,exact,True,False
0x003626ab1a6ae0f0c4f5967a7f4f5eea3aa225ac,USDC,0x8761e0370f94f68db8eaa731f4fc581f6ad0bd68,2024-03-19 14:15:11+00:00,0xe7484067657ebe95670eb218318273ac4a1164ca6b229f3f52de9248fe8c2319,35962934892,False,0.041456021,exact,True,False
0x00448a760c87188d40f505e08d900a0b02c6e7a5,DAI,0x90ca462b869bc8deb97bc612e558347b89b8d78a,2025-10-20 21:55:59+00:00,0x1eac50e85a4526a3a0e614a84a953257fae794bc89852158092dbea21ea49857,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,4.970224843556e-06,unlimited,True,True
