wallet,qualifying_txs,zero_prio_frac,active_days,active_months,supply_gas_eth,volume_usd,first_seen,last_seen,txs_per_active_day,approvals_in_window,approval_active_days,distinct_spenders,approval_gas_eth,pool_approvals,pool_approval_gas_eth,pool_approvals_prewindow,approvals_per_active_day,approval_to_action_all,approval_to_action_pool,is_bot_3sigma,private_orderflow,high_frequency,approval_spam,bot_signal_count,is_bot_behavioral,is_bot_approval_spam,is_bot
0x000000000005dfe874f01071d0e05f99178a5cfc,1,0.0,1,1,4.4413875471355e-05,62986.629647,2026-02-05 05:03:47+00:00,2026-02-05 05:03:47+00:00,1.0,2.0,1.0,2.0,2.1334172165813997e-05,0.0,0.0,1.0,2.0,2.0,0.0,False,False,False,False,0,False,False,False
0x0000000000f8ca6bb65939fac8ac0921b03a71b9,1,0.0,1,1,4.1171515473198e-05,1272.646018,2026-02-13 00:35:47+00:00,2026-02-13 00:35:47+00:00,1.0,1.0,1.0,1.0,4.1171515473198e-05,1.0,4.1171515473198e-05,0.0,1.0,1.0,1.0,False,False,False,False,0,False,False,False
0x00000000ddcb8dd8b4a04e11888e7124ab6ea43d,3,0.0,2,2,0.00043943686902166097,198333.002422,2025-11-07 07:10:23+00:00,2026-01-01 22:31:59+00:00,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False
0x000000ee130b7deb14fdf5a1df05f14d05ffd000,2,0.0,2,1,0.001106543995006115,235998.704012,2025-11-02 10:25:23+00:00,2025-11-07 15:55:59+00:00,1.0,3.0,2.0,2.0,0.0008221317899993041,0.0,0.0,1.0,1.5,1.5,0.0,False,False,False,False,0,False,False,False
0x00000a6a71825f1c3dbaf33c5858a4bd6f2d6c73,1,0.0,1,1,0.00038048931338339,38022.549162,2026-01-27 20:02:59+00:00,2026-01-27 20:02:59+00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False
0x00002eb28505c1202b8d4beb9f5134f6b67b9d8f,3,0.0,3,3,0.000111555150327618,30000.0,2025-12-02 19:45:47+00:00,2026-02-03 20:04:35+00:00,1.0,9.0,8.0,1.0,0.00082002422197827,0.0,0.0,1.0,1.125,3.0,0.0,False,False,False,False,0,False,False,False
0x0000c0eda560d267580f84143ed360a608b5c6e3,1,0.0,1,1,3.18495826467e-05,8001.3344,2026-01-15 12:24:11+00:00,2026-01-15 12:24:11+00:00,1.0,2.0,2.0,2.0,8.614948421096e-05,1.0,3.18495826467e-05,0.0,1.0,2.0,1.0,False,False,False,False,0,False,False,False
0x0001094b9d760df1407279e84c2308a92c85a710,1,1.0,1,1,2.000797076764e-05,6643.126202,2026-01-16 14:02:59+00:00,2026-01-16 14:02:59+00:00,1.0,6.0,1.0,3.0,0.000149721469424684,1.0,2.000797076764e-05,0.0,6.0,6.0,1.0,False,True,False,False,1,False,False,False
0x0001785b179862c2c03877412bb14c6b17c8236c,4,0.0,3,1,6.983673895922599e-05,115.857657,2026-02-04 20:27:11+00:00,2026-02-16 07:08:59+00:00,1.3333333333333333,5.0,4.0,4.0,0.000351533658425976,2.0,8.9923712835882e-05,0.0,1.25,1.25,0.5,False,False,False,False,0,False,False,False
0x0001cdff873bd3586b526889908250a02db98b70,1,0.0,1,1,0.000142845761769462,5000.0,2025-11-03 19:56:23+00:00,2025-11-03 19:56:23+00:00,1.0,8.0,2.0,6.0,0.003130393822169302,1.0,3.5459117854128e-05,0.0,4.0,8.0,1.0,False,False,False,False,0,False,False,False
