wallet,token_symbol,spender,block_time,tx_hash,amount_raw,is_revoke,gas_used,gas_cost_eth,max_priority_fee_per_gas,approval_type,outstanding,is_unlimited
0x000000000005dfe874f01071d0e05f99178a5cfc,DAI,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,2024-04-24 04:25:59+00:00,0x060ac98f425e4b55e4eecc298e656edd0cd483c42e404ab00f4ea2a00410a1b6,253291703571064358831,False,46182,0.00042486499480479,10000000,exact,True,False
0x000000000005dfe874f01071d0e05f99178a5cfc,USDC,0x000000000022d473030f116ddee9f6b43ac78ba3,2023-06-10 06:16:59+00:00,0x0e3a430b31271f5fcff5bcbadcd1ab5b811bcba43ec68cc1b9dfceb919448114,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,60251,0.001358150922121135,100000000,unlimited,True,True
0x000000000005dfe874f01071d0e05f99178a5cfc,USDC,0x0736bdc975af0675b9a045384efed91360d25479,2026-02-09 01:32:35+00:00,0x39b017479b63ed306f6859117889f5815dd1ae9152cd679268e01bdf17b8ba02,63002889324,False,55582,1.346566827522e-05,200000000,exact,True,False
0x000000000005dfe874f01071d0e05f99178a5cfc,USDC,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,2025-02-13 08:56:23+00:00,0x450a05a0e506b58a1b084e7a37b46eb786d29300b05f6ff97fc0a9cf39d73e67,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55906,6.6567412064196e-05,50000000,unlimited,True,True
0x000000000005dfe874f01071d0e05f99178a5cfc,USDC,0xc026395860db2d07ee33e05fe50ed7bd583189c7,2026-02-09 01:33:35+00:00,0x184a5e02f2dac9821ba296509df9c57e40e2b185c20368d6becbc5702106de2c,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55906,7.868503890594e-06,100000000,unlimited,True,True
0x000000000005dfe874f01071d0e05f99178a5cfc,USDT,0x5f6ae08b8aeb7078cf2f96afb089d7c9f51da47d,2023-11-21 07:09:11+00:00,0xed3aa457171fbd373b7f1c6eaf7d582b2e09c9f1fdc5774cdb9704611dd24a2f,18046997,False,48561,0.001298268952480629,10000000,exact,True,False
0x0000000000f8ca6bb65939fac8ac0921b03a71b9,USDC,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,2026-02-13 00:35:47+00:00,0x2618933b8136ac0c4e10adea52170a5cb5796792fda8a897eeeecf954a2a0593,1272646018,False,238813,4.1171515473198e-05,,exact,True,False
0x00000000ddcb8dd8b4a04e11888e7124ab6ea43d,DAI,0x1111111254eeb25477b68fb85ed929f73a960582,2023-10-08 19:33:47+00:00,0x98df76615f9dd61b47a8069d469355fd84f76dbfd6e54e461e6ea023086f7c7f,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,203252,0.001727733287993524,8500449137,unlimited,True,True
0x00000000ddcb8dd8b4a04e11888e7124ab6ea43d,DAI,0x3d4cc8a61c7528fd86c55cfe061a78dcba48edd1,2024-09-30 20:47:23+00:00,0x2558aed3031432268b2d1680ccb3c5eb6913823cc93ed6e8b8653155b065ce27,0,True,24174,0.00032897922402816,1369009500,revocation,False,False
0x00000000ddcb8dd8b4a04e11888e7124ab6ea43d,DAI,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2023-01-05 19:18:59+00:00,0xdfe6adcebfe65a75dead4206a6f7d8072376572b23a04b96572ea12e2da1ce9c,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,183337,0.004006085235118967,1500000000,unlimited,True,True
