wallet,sushi_grants,uniswap_grants,sushi_unlimited_grants,uniswap_unlimited_grants,sushi_ever_unlimited,uniswap_ever_unlimited,is_bot
0x113c33676aa9a8f50074af46349ff7fbed3e05df,5,5,4,5,True,True,False
0x11a6dca48ef746f0a8078762aa4ed8234ce8de20,1,2,0,2,False,True,False
0x11cef2922019c399288a4669d147bf1ce54cf3c7,4,7,0,5,False,True,False
0x11ffefc61b5c106a368bc5141470fb494654ad8e,3,6,3,6,True,True,False
0x12165e95044c85559f6f109570665f996abb6ffd,2,2,2,2,True,True,False
0x126e476387c1e6d09635e2f44ee013b8dd464535,2,6,2,6,True,True,False
0x129b5254029909443d90458ba07e3e6eb39a770b,7,1,0,1,False,True,False
0x133bb0332c9337c57175f62d0eaaf0e6497a3c08,1,6,0,2,False,True,False
0x1383c137469ca227fb8b90c81740d56a8967d937,3,6,3,6,True,True,False
0x141451c9405875cf0cdc23c0ee5be72069231e49,1,2,0,2,False,True,False
0x1421ffa007e7bafb0baa376d31126e998c860e76,2,1,0,1,False,True,False
0x14fe21f94665f173d99503d254bea54b5081d49d,16,18,0,4,False,True,False
0x156ef2d00b9bf25d06022c0ff91b7ab1dc5c0ec5,1,1,0,1,False,True,False
0x15a637b3f4750f095dd7b3bc1dda0008840093a0,2,6,0,0,False,False,False
0x15d3e5433fd7c77599634370f6ba410f1028d66d,2,3,0,2,False,True,False
0x160df7445efb20654e17930a853629b5904bf964,4,5,4,5,True,True,False
0x169d88787c7caeaca67886331ae25fc33dccfeae,3,3,0,1,False,True,False
0x16fbe166aa8038547be59a960f5f966ba07e00d0,2,3,0,0,False,False,False
0x17226b798ed88e6c2200d9cc9ad5137a5081b4c4,1,2,0,2,False,True,False
0x1760e5994157121c28bb5e046485a7bbd6ff873e,1,1,0,1,False,True,False
0x178e1a232be1cb2eea82d091215268c4215335ca,3,5,0,0,False,False,False
0x17d9ba409f89e48daddbeff2d83c6435cff41460,2,3,0,3,False,True,False
0x1834b27d6856c9a11a1c8b3f4a367be5cd1add4a,2,1,0,1,False,True,False
0x18469d8ff7d40ef11d0eaab8d78fdccc9f168644,2,1,0,0,False,False,False
0x187901e172e7573c563e24457c537d2fb6a6306c,1,4,0,3,False,True,False
0x196e22ec303b0cf2bbc2cc43f75ac829ee523cb2,4,5,4,5,True,True,False
0x19bb9d8e2c056d693386fe457aff8e86f0d77c4a,13,2,0,1,False,True,False
0x19bcd7e372bc70cbfc5ee67b8a169c3abe8a4d7e,1,6,0,6,False,True,False
0x19c4401ed064dfec75141f9117940ef68a889e20,33,1,0,1,False,True,False
0x1a1d37a459880db921628d085fc37f7afd633f32,4,4,4,4,True,True,False
0x1a9a95af18e8fdfb5bce0d5b98143d92b6f1e2ce,6,6,3,6,True,True,False
0x1aa8c99b4adc8b2067e821efe11055c9392875f8,4,5,4,5,True,True,False
0x1aac4180254f5e8f6a954fb9cad3431d353dc0ec,3,6,3,6,True,True,False
0x1b2b001724fc11c6d31e8c9a6fbda837c16c5cdb,3,6,3,6,True,True,False
0x1b4e0d2b2dbb9fbec03bdfc508428374c5edd2a6,3,6,3,6,True,True,False
0x1c1192598135222462265fdf991409ed02a041c5,19,2,0,0,False,False,False
0x1c5a65d5ce67d8b34591c272ae203bc3c3b99d4a,1,,0,,False,,False
0x1cb0db7f52826f741c8e1af4631686f2a0395dc3,3,8,2,7,True,True,False
0x1cc5f05ab3a45c76a52578e725138c7994c75265,23,1,0,1,False,True,False
0x1cead96c78dca979340f6a70346eb2f4de6a4adb,2,1,0,1,False,True,False
0x1d1ac009bf6d9d454b23331db947152d67ab125a,2,6,2,2,True,True,False
0x1d4281bb762386cdd1c2cfb6a9efdc8de31dbebe,4,5,4,5,True,True,False
0x1d4ee5ae1928fe98f0811c9217873a27f83f0df5,3,6,3,6,True,True,False
0x1d5c5371f43987f3f59101b4768c9a26fcfaceae,3,6,3,6,True,True,False
0x1d5f938654b58e825d4372bec4018e08bfc3759d,5,11,0,0,False,False,False
0x1e20e845a75db713dbf2abb50572ba084a3b5608,4,6,4,6,True,True,False
0x1e7a789ab5a5a1d0b4448df31902d477dfaa4089,3,6,3,6,True,True,False
0x1eb017aa019b8c4b0e3dcbb1b972767dd791d47f,1,2,0,2,False,True,False
0x1ec4505ce4a255d680a9c66935a1e9e52b5f1c51,1,6,0,1,False,True,False
0x1edfdd79b18ff59f3a20799ac4cc17bf619d892f,1,1,0,1,False,True,False
0x1ee17aa5c50ba8895abbb5eaef36549a0f0dfd48,43,2,0,2,False,True,False
0x1eeadb0be8a5bc9b7f44c21f8936d82b19709788,9,1,0,1,False,True,False
0x1f0139ef20519cb0ea2d3589d722d0fc7dbc53b6,2,2,0,2,False,True,False
0x1f17057933cbddd134ad5aba4e42803eafd303aa,7,1,0,1,False,True,False
0x1f6920bb0c8c0674f850ad7f58d19d85a17458dd,3,6,3,6,True,True,False
0x1f7b4fd6ac4a5bec35c49a05ee28f4c98dffc65b,3,5,3,5,True,True,False
0x1fc10136739287b85c4eaa77a9398a6f1f6e0473,1,1,0,0,False,False,False
0x200aa09d172784b7ea96a077f809984fe3709e1e,10,1,0,1,False,True,False
0x200bfe4cbacb3abb32cd1169bf0271bcbaa7e5dc,3,6,3,6,True,True,False
0x20270f35147ab81d6a466fe71a61cfb2f0ffa0e9,5,6,2,6,True,True,False
0x20438734ec23e98a7b7b77d4d6a7d498050921fe,6,6,2,6,True,True,False
0x20ce18cde983debda22fd7edbcbb3688109f9929,3,5,3,5,True,True,False
0x21017b45686d0d8faf0515b71bd6da616928dfc7,4,4,4,4,True,True,False
0x210ab601c6b78406ea9a6dd91289ece1287e66bd,103,1,0,1,False,True,False
0x21e43dabbb74d1d5e8815d01a03d6cc5ce8662d9,3,6,3,6,True,True,False
0x21f9be6772dce6d0c67a4b67862147d37208fc87,4,5,4,5,True,True,False
0x22c0f9155b138d346c5fd32e72447941587465cd,1,1,0,0,False,False,False
0x22cace5050359a8a6f51634d0407ceaf1c2b2e0a,3,6,3,6,True,True,False
0x22e3ab72849fc54aaf119716c3cea1f2d8ddf1d5,4,6,4,6,True,True,False
0x234a2d6e625a2772f152ed74ec3c9e92407a2a22,4,3,0,1,False,True,False
0x234e7d7a0192bf7e952841d2114b0e53db5655fd,3,2,0,2,False,True,False
0x2367e5273f90845df67b6207d75fe8718977edac,3,6,3,6,True,True,False
0x23da42e5fd8b5e9bbdc8aed1dc6419b5e42b7763,2,1,0,1,False,True,False
0x2461e1171cb9a5352bc069e48d460fbe85c7ff1b,3,1,0,1,False,True,False
0x24922c0d77e4f8a771ea2bd7c6e1ae45c7a9d49a,3,6,3,6,True,True,False
0x24c16b71a63a4bc372a7ee5adf26847f3a69fafc,1,2,0,2,False,True,False
0x24dde7260c7237d006ffa181e4bf35ebde4a62b1,12,1,0,1,False,True,False
0x251384107fcaa63b45e15b08804af40db90a922e,1,4,0,2,False,True,False
0x2515b754e606b9461fc90f9c5ab3f2df8767fbc0,2,3,0,3,False,True,False
0x256c9a379ecf8e8b62371a342fca82a3f0158e87,1,3,0,2,False,True,False
0x2578d852242f2b983f506023c4712fa69aded129,3,6,3,6,True,True,False
0x25e979042a70e0d7ed626ffa6c43626a0a3fd210,8,6,0,3,False,True,False
0x26317d9456f9ccb0aa252618ecd940dbcdc498ef,5,7,3,7,True,True,False
0x265e8eb84d0dcba69dadc59d63ece02b6006b84c,6,2,0,1,False,True,False
0x266a96891c5c97b6b2b8d367d279f64f580c6ac4,4,5,4,5,True,True,False
0x26a4fe0c9bd52874fa67fc7dd278174cd6b6762f,4,5,4,5,True,True,False
0x26cdbf2ef0957d29307f20316edecc2fe55c97a5,10,3,0,2,False,True,False
0x28057f15c86d25fb963b6903f6672177f3e8f85d,2,6,2,6,True,True,False
0x2973a0da0cbd8a3bd7a6aeab4b62a1365a22139c,1,2,0,0,False,False,True
0x2a29897d6979766abfbc9d32d370143eb1623325,2,2,0,2,False,True,False
0x2a2bf6cca153ebd89150c8497b60e58237ee5414,4,6,4,6,True,True,False
0x2a544f010db58d664d64841aa65dd54f0867dfdf,1,1,0,0,False,False,False
0x2a6629fd37475cdeb32f5b1dfc6603174be3fad8,1,2,0,0,False,False,False
0x2b1533ee5907b6a7c8ea9e1ef6ec2e41d3d0b145,5,6,5,6,True,True,False
0x2b156b7d7754911fe7933c6634975ba57ee73b80,4,6,3,6,True,True,False
0x2b1edac1d63fb086bc358598b1a5f175c9a0541e,1,2,0,2,False,True,False
0x2b22fbaab0f340d4a206eb594b754ab1ce2619c9,4,5,4,5,True,True,False
0x2b37a4b9d0001d35c314bf38462e41ae114665a5,3,6,3,6,True,True,False
0x2b9ccb8d28539252ac3a639dc63c18434f449ae6,1,3,0,1,False,True,False
0x2bf52fe2512b61e819717a2accc41b78b76d9f86,4,5,3,5,True,True,False
0x2c569b75cf91adb9196f4809d1c1bcfeef05f5d3,3,1,0,0,False,False,False
0x2c5e078be0137049f6fdf92ab01792563e698e6b,3,9,0,9,False,True,False
0x2c9d2c6b78e3eaf8c4c7e50ac852459721e9bac1,3,6,3,6,True,True,False
0x2cfcbd233268c302996c767347eb45bec36fb08d,1,5,0,3,False,True,False
0x2d2c0ca6536dc78f26b24297fe705c8a5a65db6f,3,1,0,1,False,True,False
0x2d36b8bd4323861c455e776e1030a25d86741d0a,2,2,0,0,False,False,False
0x2db4625a9ece077cb432d1a84b85b03c15721be6,4,2,0,0,False,False,False
0x2deda5c1e1c554c1e9ec99e6e67a2066a4ea1ba2,4,6,4,6,True,True,False
0x2e9b5dbe09ed89074c414eb9195a5d94e6c589e8,2,1,0,0,False,False,False
0x2f0fd28fbc804309ce64268d531151e536792c00,4,5,2,5,True,True,False
0x2f6772c693ebea065ba66636a28370432f9162cc,24,1,0,1,False,True,False
0x2f981883c6a961f3b9966e9e2f000c13de6cef04,3,6,3,6,True,True,False
0x30c24de6306b1c92f09981a559b1b5b5d055cd08,4,1,0,0,False,False,False
0x311d66b26b47cf904427e0e2cd8cd5555435ea12,3,6,3,6,True,True,False
0x322ba5d612fccfc7da8362a9e86ba9db8364c9b5,3,2,0,2,False,True,False
0x324886484ac099c5236c2eee7304e5f1c2f4ab06,3,6,2,6,True,True,False
0x328bbe7f59a5682789acdbd796ad26aa8d515988,3,3,2,2,True,True,False
0x32f9d7fb07824283ea374f93aea46a36b7fcda26,18,4,0,4,False,True,False
0x3345ac7a067937171d4da618c6ce16b5542d0578,1,1,1,1,True,True,False
0x336251ed1a682a4913f80a9878af7e93b927db49,2,3,0,1,False,True,False
0x33727bdfd9d2c3dc34f4460fe7073e7222790199,1,1,0,0,False,False,False
0x33761c1550c4456836029f6ec2dd1841d9f62618,6,6,2,6,True,True,False
0x33e850a47242a69504340583f83a3d36dad02e2a,1,2,0,0,False,False,False
